M1,M2,M3,M4,M5,P1,P2,P3,P4,F,grade
notA,notA,A,notA,A,A,A,notA,notA,A,A
notA,A,A,notA,A,notA,notA,notA,A,notA,notA
notA,A,A,A,A,notA,A,notA,notA,A,A
notA,notA,notA,notA,A,A,A,notA,notA,A,notA
A,notA,A,A,A,A,A,notA,notA,A,A
notA,notA,A,notA,A,notA,A,notA,notA,notA,notA
notA,A,A,notA,notA,A,A,A,notA,notA,notA
notA,notA,A,notA,A,A,A,A,notA,notA,notA
notA,A,A,A,notA,A,A,A,notA,notA,A
notA,notA,A,notA,notA,notA,A,notA,notA,notA,notA
A,A,notA,notA,A,notA,A,notA,notA,A,A
A,A,A,notA,A,notA,A,notA,notA,notA,notA
notA,A,A,notA,A,A,A,notA,notA,A,A
notA,notA,A,A,A,A,A,A,notA,A,A
A,notA,A,A,notA,A,A,notA,notA,A,A
A,notA,A,A,notA,A,notA,notA,notA,A,A
A,A,A,notA,A,A,A,notA,notA,A,A
notA,A,A,A,A,A,A,A,notA,A,A
notA,A,A,A,notA,notA,A,A,notA,A,A
A,A,A,notA,A,A,A,notA,notA,A,A
notA,A,A,notA,A,notA,A,notA,notA,notA,notA
A,A,A,A,A,notA,notA,notA,notA,notA,A
A,A,notA,notA,notA,A,notA,A,notA,A,A
notA,A,notA,notA,A,A,A,notA,notA,A,A
A,notA,A,notA,A,notA,A,notA,A,A,A
notA,notA,notA,notA,A,notA,A,notA,notA,notA,notA
A,notA,A,A,A,notA,A,notA,notA,A,A
notA,A,notA,notA,A,A,A,notA,notA,notA,notA
A,A,notA,notA,A,notA,A,notA,A,A,A
notA,notA,A,A,A,A,A,notA,notA,A,A
A,notA,A,A,A,notA,A,notA,notA,A,A
A,A,A,notA,A,A,A,A,notA,A,A
A,notA,A,notA,notA,A,A,A,A,notA,notA
A,notA,A,notA,A,notA,A,notA,notA,A,A
A,notA,A,A,A,notA,A,notA,notA,A,A
notA,A,A,notA,A,A,A,A,notA,A,A
A,notA,A,notA,A,A,A,notA,notA,A,A
notA,notA,A,notA,A,A,A,A,A,A,A
notA,A,notA,notA,A,notA,A,A,notA,A,A
A,A,A,A,A,A,A,notA,notA,A,A
notA,A,A,A,A,notA,A,notA,A,notA,A
notA,A,A,notA,A,A,A,A,notA,A,A
notA,notA,notA,A,notA,A,A,A,A,A,A
A,A,A,notA,A,A,A,notA,notA,notA,A
A,A,A,notA,A,notA,A,A,notA,notA,A
notA,notA,A,notA,A,notA,A,A,notA,A,A
A,A,notA,notA,A,notA,A,notA,notA,A,A
notA,notA,notA,A,A,notA,A,notA,A,notA,notA
notA,notA,A,A,A,A,A,notA,notA,A,A
notA,notA,A,notA,A,A,A,A,notA,A,A
notA,A,A,notA,A,A,A,notA,notA,A,A
notA,notA,notA,A,A,A,A,notA,notA,A,A
notA,notA,notA,notA,A,A,A,notA,notA,A,notA
A,A,A,A,A,A,A,notA,notA,A,A
notA,notA,A,A,A,notA,A,A,notA,A,A
notA,A,A,notA,A,notA,notA,notA,A,A,A
A,notA,A,notA,A,A,A,A,notA,A,A
notA,notA,A,notA,A,A,A,notA,notA,A,A
A,notA,A,A,notA,notA,A,notA,A,notA,notA
notA,notA,A,notA,notA,A,notA,A,notA,notA,notA
notA,A,A,notA,A,notA,notA,notA,notA,notA,notA
A,A,A,notA,A,A,A,notA,notA,A,A
notA,A,A,notA,notA,A,notA,notA,notA,notA,notA
notA,notA,A,A,A,A,notA,A,notA,A,A
notA,notA,A,notA,A,A,A,notA,notA,A,A
notA,A,A,notA,A,A,notA,notA,notA,A,A
notA,notA,notA,notA,A,A,A,notA,notA,notA,notA
A,A,A,A,A,notA,A,notA,notA,notA,A
notA,notA,notA,notA,A,A,A,notA,A,notA,notA
notA,A,A,notA,notA,A,A,A,notA,A,A
A,notA,notA,notA,A,notA,A,A,notA,A,A
notA,A,notA,notA,A,notA,A,notA,notA,notA,notA
notA,notA,A,A,notA,A,A,notA,notA,A,A
notA,A,A,A,notA,A,A,A,notA,A,A
notA,notA,notA,notA,A,notA,A,A,notA,notA,notA
notA,notA,A,notA,A,notA,notA,notA,notA,A,notA
A,notA,A,notA,A,A,A,notA,notA,A,A
notA,A,A,A,A,A,A,notA,notA,A,A
notA,notA,A,notA,A,A,A,notA,notA,A,A
notA,notA,A,A,A,A,A,notA,notA,A,A
notA,notA,A,A,A,A,A,notA,notA,A,A
notA,notA,A,A,A,notA,A,A,notA,A,A
notA,A,notA,A,notA,notA,A,A,notA,A,A
A,notA,A,notA,A,A,A,notA,notA,A,A
notA,notA,A,A,A,A,A,notA,notA,A,A
A,A,A,notA,A,notA,A,notA,notA,A,A
A,A,A,notA,A,A,A,notA,notA,A,A
notA,A,A,notA,A,A,notA,notA,notA,A,A
A,A,A,A,notA,notA,A,A,A,A,A
A,A,A,notA,A,A,A,notA,notA,A,A
A,notA,A,notA,notA,A,A,A,notA,notA,notA
A,A,A,notA,A,A,A,notA,notA,notA,A
notA,notA,A,notA,A,notA,A,A,notA,A,A
notA,A,A,A,A,notA,notA,A,notA,A,A
A,notA,notA,notA,A,A,A,notA,A,A,A
A,A,A,A,A,A,A,A,A,A,A
A,notA,notA,A,A,A,A,A,A,A,A
A,notA,notA,notA,A,A,A,notA,notA,A,A
notA,notA,A,notA,A,notA,A,notA,notA,A,notA
notA,notA,A,A,A,A,A,notA,A,A,A
notA,notA,notA,notA,A,notA,notA,notA,notA,A,notA
notA,notA,notA,notA,A,A,A,notA,notA,A,notA
notA,notA,A,A,A,A,A,notA,notA,A,A
notA,A,A,A,A,A,notA,notA,notA,A,A
A,notA,A,A,A,A,A,notA,notA,notA,A
A,notA,A,notA,A,A,notA,notA,notA,notA,notA
notA,notA,A,notA,notA,notA,notA,notA,notA,notA,notA
A,A,notA,notA,A,notA,A,A,notA,notA,notA
notA,A,A,notA,notA,A,A,notA,A,A,A
notA,notA,A,A,A,A,A,notA,notA,A,A
notA,A,A,A,notA,A,A,A,notA,A,A
notA,notA,notA,notA,A,A,A,notA,notA,A,notA
A,A,A,notA,A,A,A,notA,notA,A,A
A,A,A,notA,notA,A,notA,notA,notA,notA,notA
A,notA,A,notA,A,notA,A,notA,notA,A,A
A,notA,A,A,A,A,A,notA,notA,notA,A
notA,notA,A,A,notA,notA,A,A,notA,notA,notA
A,A,A,A,notA,notA,notA,notA,A,A,A
A,A,A,notA,A,A,A,notA,A,A,A
A,A,A,notA,A,notA,A,A,A,A,A
A,notA,notA,notA,A,A,notA,notA,notA,A,notA
notA,notA,A,notA,notA,A,A,notA,notA,A,notA
notA,notA,A,A,notA,notA,A,A,notA,notA,notA
A,A,A,notA,notA,A,A,A,notA,A,A
notA,notA,notA,notA,A,notA,notA,notA,notA,notA,notA
A,A,A,A,notA,notA,A,notA,notA,A,A
notA,A,A,A,A,A,notA,notA,notA,A,A
notA,A,notA,notA,A,A,notA,notA,notA,A,A
notA,notA,A,A,notA,A,A,A,notA,A,A
notA,notA,A,A,A,A,A,A,notA,A,A
notA,notA,A,A,notA,notA,A,notA,notA,A,notA
A,A,A,notA,A,notA,notA,notA,notA,notA,notA
notA,notA,A,notA,A,A,A,notA,notA,A,A
notA,notA,A,notA,notA,notA,A,notA,notA,A,notA
notA,notA,notA,notA,A,A,A,notA,notA,notA,notA
A,A,A,A,A,A,A,notA,notA,A,A
A,notA,A,notA,A,notA,A,notA,notA,notA,notA
A,A,A,A,A,A,A,notA,A,A,A
notA,notA,A,notA,notA,notA,A,notA,notA,notA,notA
notA,A,A,notA,notA,A,A,notA,notA,A,notA
A,notA,notA,A,A,A,A,notA,A,A,A
A,notA,A,notA,A,A,A,notA,notA,notA,notA
notA,A,A,A,notA,notA,A,notA,notA,notA,notA
A,notA,notA,notA,A,notA,A,A,A,A,A
A,notA,A,A,A,A,A,notA,notA,A,A
notA,A,A,notA,A,A,notA,notA,notA,notA,notA
A,notA,A,notA,A,A,A,notA,notA,A,A
A,A,A,A,A,A,A,A,notA,A,A
notA,notA,notA,notA,A,notA,notA,notA,notA,notA,notA
notA,notA,A,notA,notA,notA,notA,notA,notA,A,notA
notA,notA,A,A,A,notA,A,notA,notA,A,A
notA,notA,A,notA,notA,notA,A,A,notA,A,notA
notA,notA,A,A,A,A,A,notA,notA,A,A
notA,A,A,notA,A,A,A,A,notA,notA,A
notA,notA,notA,A,A,A,notA,notA,A,A,A
notA,A,notA,notA,A,notA,A,notA,notA,A,notA
A,notA,A,notA,A,A,A,notA,notA,A,A
A,notA,A,A,notA,A,A,notA,notA,notA,notA
notA,notA,A,A,A,A,A,notA,notA,notA,A
A,A,A,notA,notA,A,notA,notA,notA,A,A
notA,A,A,notA,A,notA,A,A,notA,A,A
notA,A,A,A,A,A,A,notA,notA,A,A
A,notA,A,notA,A,notA,A,A,notA,notA,notA
notA,A,A,notA,notA,A,A,A,notA,A,A
A,A,A,notA,A,A,A,notA,notA,A,A
notA,notA,A,notA,A,notA,notA,notA,notA,notA,notA
A,A,notA,notA,notA,notA,A,notA,notA,A,notA
A,A,A,A,A,A,A,notA,notA,notA,A
A,A,A,notA,A,A,A,notA,notA,A,A
notA,notA,A,A,A,A,notA,A,notA,A,A
notA,notA,notA,notA,A,A,A,notA,notA,A,notA
A,A,A,notA,A,A,A,notA,A,notA,A
notA,A,A,notA,notA,A,A,notA,notA,notA,notA
A,notA,A,A,A,A,A,notA,notA,A,A
notA,notA,notA,notA,A,A,A,A,notA,A,A
notA,notA,notA,notA,A,notA,A,A,notA,A,notA
A,notA,notA,A,A,notA,A,notA,notA,A,A
A,A,A,notA,A,A,A,notA,A,notA,A
A,notA,notA,A,A,A,A,notA,notA,A,A
A,A,A,notA,A,A,A,notA,notA,A,A
A,A,A,A,A,A,notA,notA,A,A,A
notA,notA,A,notA,A,A,A,notA,notA,A,A
A,notA,notA,A,A,notA,A,notA,notA,A,A
notA,notA,notA,notA,A,A,A,notA,notA,A,notA
A,A,notA,notA,notA,A,A,A,notA,A,A
A,notA,A,notA,A,A,A,notA,notA,A,A
notA,notA,A,notA,notA,A,notA,notA,notA,A,notA
notA,A,A,notA,A,notA,A,A,A,notA,A
notA,A,notA,notA,A,A,notA,notA,A,A,A
A,notA,A,notA,notA,notA,notA,notA,notA,A,notA
notA,A,A,notA,notA,A,A,notA,notA,notA,notA
notA,A,A,notA,A,A,A,A,A,A,A
A,notA,A,notA,notA,A,A,notA,notA,notA,notA
notA,A,A,notA,notA,A,A,A,A,A,A
A,A,A,A,A,A,notA,A,notA,notA,A
notA,notA,notA,A,A,notA,A,notA,notA,A,notA
notA,notA,A,notA,notA,A,A,A,notA,notA,notA
A,A,A,A,A,A,A,notA,notA,A,A
A,notA,notA,notA,A,A,A,notA,notA,A,A
notA,notA,notA,notA,A,notA,A,A,notA,A,notA
